   1  X11002301 ( -*--                    |                        ), 0.010,  0.031,  0.052,  0.067,  0.115
   1  X11012310 (           ---*--        |                        ), 0.206,  0.232,  0.287,  0.335,  0.343
   2  X12013610 (               *-        |                        ), 0.272,  0.302,  0.314,  0.331,  0.342
   2  X11013410 (               *-        |                        ), 0.267,  0.306,  0.316,  0.330,  0.346
   2  X12012310 (               *         |                        ), 0.192,  0.310,  0.317,  0.322,  0.333
   3  X11012610 (                *        |                        ), 0.229,  0.326,  0.332,  0.341,  0.353
   3  X12013410 (                *        |                        ), 0.326,  0.328,  0.335,  0.339,  0.350
   4  X11013310 (                -*       |                        ), 0.308,  0.331,  0.345,  0.349,  0.355
   5  X11002310 (                 *-      |                        ), 0.313,  0.345,  0.359,  0.375,  0.393
