   1  X11002301 (*-------------------     |                        ), 0.000,  0.000,  0.000,  0.025,  0.412
   1  X11013310 (                --*---   |                        ), 0.192,  0.322,  0.364,  0.406,  0.446
   1  X11012310 (             ------*-----|--                      ), 0.165,  0.260,  0.385,  0.492,  0.578
   2  X12012310 (                 ----*---|-                       ), 0.226,  0.357,  0.437,  0.500,  0.554
   2  X11012610 (                 -----*- |                        ), 0.187,  0.356,  0.448,  0.470,  0.500
   2  X11013410 (                    --*--|                        ), 0.230,  0.407,  0.453,  0.480,  0.520
   3  X12013610 (                    --*--|---                     ), 0.294,  0.411,  0.454,  0.522,  0.584
   3  X12013410 (                     -*--|                        ), 0.342,  0.425,  0.459,  0.491,  0.540
   4  X11002310 (                       -*|                        ), 0.448,  0.471,  0.490,  0.506,  0.524
