   1  X11002301 (*----                    |                        ), 0.000,  0.000,  0.000,  0.000,  0.120
   1  X13012310 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.241
   1  X13012410 (            *--          |                        ), 0.241,  0.241,  0.241,  0.250,  0.304
   1  X13013610 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.241
   1  X12012310 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.241
   1  X13013510 (            *-           |                        ), 0.241,  0.241,  0.241,  0.241,  0.281
   1  X11012610 (            *            |                        ), 0.241,  0.241,  0.241,  0.252,  0.261
   1  X13012710 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.241
   1  X12013410 (            *--          |                        ), 0.241,  0.241,  0.241,  0.279,  0.307
   1  X12012610 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.241
   1  X12013610 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.259
   1  X13013310 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.250
   1  X12013510 (            *-           |                        ), 0.241,  0.241,  0.241,  0.241,  0.281
   1  X11013511 (            *            |                        ), 0.235,  0.241,  0.241,  0.242,  0.245
   1  X11013610 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.250
   1  X12012410 (            *--          |                        ), 0.241,  0.241,  0.241,  0.289,  0.310
   1  X12012710 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.242
   1  X12012510 (            *            |                        ), 0.241,  0.241,  0.241,  0.241,  0.246
   1  X11012310 (            *-           |                        ), 0.241,  0.241,  0.241,  0.242,  0.286
   1  X11013310 (            *            |                        ), 0.241,  0.241,  0.241,  0.249,  0.267
   1  X11013510 (            *            |                        ), 0.241,  0.241,  0.241,  0.243,  0.253
   2  X12013710 (            *            |                        ), 0.241,  0.241,  0.242,  0.263,  0.278
   3  X11012410 (            *----        |                        ), 0.241,  0.241,  0.243,  0.259,  0.340
   4  X11013410 (            *-           |                        ), 0.241,  0.241,  0.244,  0.267,  0.293
   4  X12013310 (            *-           |                        ), 0.241,  0.243,  0.253,  0.263,  0.286
   4  X11002311 (------------*--          |                        ), 0.000,  0.000,  0.255,  0.281,  0.307
   5  X11012510 (            -*-          |                        ), 0.241,  0.241,  0.264,  0.270,  0.310
   6  X11002310 (               *-        |                        ), 0.293,  0.310,  0.317,  0.327,  0.347
   7  X13002310 (                -*--     |                        ), 0.292,  0.326,  0.341,  0.398,  0.413
