X1300231,0.376,0.391,0.408
X1201271,0.406,0.421,0.433
X1101271,0.413,0.425,0.449
X1101351,0.462,0.47,0.475
X0101261,0.521,0.521,0.521
X1200231,0.517,0.524,0.541
X0101361,0.525,0.525,0.525
X1100231,0.5,0.576,0.593
